TestId,TestDate,EventType,CalvingDate,BirthDate,Parity,DaysInMilk,DailyMilkingYield
1483,2019-06-18,MilkRecording,2019-06-03,2009-02-09,7,15,49.1
1483,2019-07-16,MilkRecording,2019-06-03,2009-02-09,7,43,53.4
1483,2019-08-13,MilkRecording,2019-06-03,2009-02-09,7,71,52.1
1483,2019-09-10,MilkRecording,2019-06-03,2009-02-09,7,99,48.3
1483,2019-10-08,MilkRecording,2019-06-03,2009-02-09,7,127,37
1483,2019-11-05,MilkRecording,2019-06-03,2009-02-09,7,155,31.1
1483,2019-12-03,MilkRecording,2019-06-03,2009-02-09,7,183,22.7
1483,2019-12-31,MilkRecording,2019-06-03,2009-02-09,7,211,24.9
1483,2020-01-28,MilkRecording,2019-06-03,2009-02-09,7,239,24.8
1483,2020-02-26,MilkRecording,2019-06-03,2009-02-09,7,268,24.4
1483,2020-03-31,MilkRecording,2019-06-03,2009-02-09,7,302,21
1528,2018-07-31,MilkRecording,2018-07-28,2009-05-14,7,3,26.8
1528,2018-08-28,MilkRecording,2018-07-28,2009-05-14,7,31,53.3
1528,2018-09-25,MilkRecording,2018-07-28,2009-05-14,7,59,50.4
1528,2018-10-23,MilkRecording,2018-07-28,2009-05-14,7,87,45.2
1528,2018-11-20,MilkRecording,2018-07-28,2009-05-14,7,115,39.5
1528,2018-12-18,MilkRecording,2018-07-28,2009-05-14,7,143,37.4
1528,2019-01-15,MilkRecording,2018-07-28,2009-05-14,7,171,33.4
1528,2019-02-12,MilkRecording,2018-07-28,2009-05-14,7,199,29.6
1528,2019-03-12,MilkRecording,2018-07-28,2009-05-14,7,227,28.1
1528,2019-04-09,MilkRecording,2018-07-28,2009-05-14,7,255,23.2
1528,2019-05-21,MilkRecording,2018-07-28,2009-05-14,7,297,21.7
1746,2018-10-23,MilkRecording,2018-09-27,2010-08-01,6,26,59.5
1746,2018-11-20,MilkRecording,2018-09-27,2010-08-01,6,54,57.2
1746,2018-12-18,MilkRecording,2018-09-27,2010-08-01,6,82,53.7
1746,2019-01-15,MilkRecording,2018-09-27,2010-08-01,6,110,53
1746,2019-02-12,MilkRecording,2018-09-27,2010-08-01,6,138,50.2
1746,2019-03-12,MilkRecording,2018-09-27,2010-08-01,6,166,47
1746,2019-04-09,MilkRecording,2018-09-27,2010-08-01,6,194,42.8
1746,2019-05-21,MilkRecording,2018-09-27,2010-08-01,6,236,40.9
1746,2019-06-18,MilkRecording,2018-09-27,2010-08-01,6,264,39.5
1746,2019-07-16,MilkRecording,2018-09-27,2010-08-01,6,292,34.3
1770,2018-10-23,MilkRecording,2018-10-07,2010-08-18,6,16,41.5
1770,2018-11-20,MilkRecording,2018-10-07,2010-08-18,6,44,50.5
1770,2018-12-18,MilkRecording,2018-10-07,2010-08-18,6,72,50.3
1770,2019-01-15,MilkRecording,2018-10-07,2010-08-18,6,100,51.1
1770,2019-02-12,MilkRecording,2018-10-07,2010-08-18,6,128,37
1770,2019-03-12,MilkRecording,2018-10-07,2010-08-18,6,156,36.3
1770,2019-04-09,MilkRecording,2018-10-07,2010-08-18,6,184,37.3
